id,name,pclass,age,sex,survived,sexcode
1,Dean_ Miss Elizabeth Gladys (Millvena),3rd,45,female,1,1
2,Danbom_ Master Gilbert Sigvard Emanuel,3rd,65,male,0,0
3,Richards_ Master George Sidney,2nd,44,male,1,0
4,Caldwell_ Master Alden Gates,2nd,34,male,1,0
5,Aks_ Master Philip,3rd,23,male,1,0
6,Becker_ Master Richard F,2nd,16,male,1,0
7,Hamalainen_ Master Viljo,2nd,1,male,1,0
8,LaRoche_ Miss Louise,2nd,1,female,1,1
9,Dean_ Master Bertram Vere,3rd,1,male,1,0
10,Johnson_ Miss Eleanor Ileen,3rd,1,female,1,1
11,Klasen_ Miss Gertrud Emilia,3rd,22,female,0,1
12,Sandstrom_ Miss Beatrice Irene,3rd,85,female,0,1
13,Allison_ Miss Helen Loraine,1st,2,female,0,1
14,Mallet_ Master Andre,2nd,2,male,1,0
15,Navratil_ Master Edmond Roger,2nd,2,male,1,0
16,Quick_ Miss Phyllis May,2nd,2,female,1,1
17,Wells_ Master Ralph Lester,2nd,2,male,1,0
18,Andersson_ Miss Ellis Anna Maria,3rd,2,female,0,1
19,Hirvonen_ Miss Hildur E,3rd,2,female,0,1
20,LaRoche_ Miss Simonne,2nd,3,female,1,1
21,Navratil_ Master Michel M,2nd,3,male,1,0
22,Richards_ Master William Rowe,2nd,3,male,1,0
23,Aspland_ Master Edvin Rojj Felix,3rd,3,male,1,0
24,Baclini_ Miss Eugenie,3rd,3,female,1,1
25,Coutts_ Master Neville,3rd,3,male,1,0
26,Dodge_ Master Washington,1st,4,male,1,0
27,Becker_ Miss Marion Louise,2nd,4,female,1,1
28,Wells_ Miss Joan,2nd,4,female,1,1
29,Andersson_ Master Sigvard Harald Elias,3rd,4,male,0,0
30,Johnson_ Master Harold Theodor,3rd,4,male,1,0
31,Karun_ Miss Anna Mary,3rd,4,female,1,1
32,Kink_ Miss Louise Gretchen,3rd,4,female,1,1
33,Asplund_ Master Carl Edgar,3rd,5,male,0,0
34,Asplund_ Miss Lillian Gertrud,3rd,5,female,1,1
35,Emanuel_ Miss Virginia Ethel,3rd,5,female,1,1
36,Spedden_ Master Robert Douglas,1st,6,male,1,0
37,Harper_ Miss Nina,2nd,6,female,1,1
38,Andersson_ Miss Ebba Iris,3rd,6,female,0,1
39,Boulos_ Master Akar,3rd,6,male,0,0
40,Goodwin_ Master Sidney L,3rd,6,male,0,0
41,Hart_ Miss Eva Miriam,2nd,7,female,1,1
42,Collyer_ Miss Marjorie,2nd,8,female,1,1
43,Davis_ Master John Morgan,2nd,8,male,1,0
44,Drew_ Master Marshall Brines,2nd,8,male,1,0
45,Quick_ Miss Winifred Vera,2nd,8,female,1,1
46,Andersson_ Miss Ingeborg Constancia,3rd,9,female,0,1
47,Asplund_ Master Clarence Gustaf Hugo,3rd,9,male,0,0
48,Boulos_ Miss Laura,3rd,9,female,0,1
49,Coutts_ Master William Leslie,3rd,9,male,1,0
50,Ford_ Miss Maggie,3rd,9,female,0,1
51,Goldsmith_ Master Frank John William,3rd,9,male,1,0
52,Goodwin_ Master Harold V,3rd,9,male,0,0
53,Goodwin_ Miss Jessie A,3rd,10,female,0,1
54,Van Impe_ Miss Catharine,3rd,10,female,0,1
55,Allison_ Master Hudson Trevor,1st,11,male,1,0
56,Carter_ Master William T II,1st,11,male,1,0
57,Andersson_ Miss Sigrid Elizabeth,3rd,11,female,0,1
58,Goodwin_ Master William F,3rd,11,male,0,0
59,Aubert_ Mrs Leontine Pauline,1st,12,female,1,1
60,Becker_ Miss Ruth Elizabeth,2nd,12,female,1,1
61,Watt_ Miss Bertha,2nd,12,female,1,1
62,Ryerson_ Master John Borie,1st,13,male,1,0
63,Mellenger_ Miss Madeleine Violet,2nd,13,female,1,1
64,Abbott_ Master Eugene Joseph,3rd,13,male,0,0
65,Asplund_ Master Filip Oscar,3rd,13,male,0,0
66,Carter_ Miss Lucile Polk,1st,14,female,1,1
67,Sweet_ Mr George,2nd,14,male,0,0
68,Goodwin_ Mr Charles E,3rd,14,male,0,0
69,Vestrom_ Miss Hulda Amanda Adolfina,3rd,14,female,0,1
70,Madill_ Miss Georgette Alexandra,1st,15,female,1,1
71,Brown_ Miss Edith E,2nd,15,female,1,1
72,Banoura_ Miss Ayout,3rd,15,female,1,1
73,Van der Planke_ Mr Leon,3rd,15,male,0,0
74,Yasbeck_ Mrs Antoni,3rd,15,female,1,1
75,Hippach_ Miss Jean Gertrude,1st,16,female,1,1
76,Lines_ Miss Mary Conover,1st,16,female,1,1
77,Gaskell_ Mr Alfred,2nd,16,male,0,0
78,Abbott_ Mr Rossmore Edward,3rd,16,male,0,0
79,Abelseth_ Miss Anna Karen,3rd,16,female,1,1
80,Carr_ Miss Helen,3rd,16,female,1,1
81,Eklund_ Mr Hans Linus,3rd,16,male,0,0
82,Ford_ Mr Neil Watson,3rd,16,male,0,0
83,Gilnagh_ Miss Katie,3rd,16,female,1,1
84,Goodwin_ Miss Lillian A,3rd,16,female,0,1
85,Dick_ Mrs Albert Adrian Vera Gillespie,1st,17,female,1,1
86,Penasco_ Mrs Victor de Satode (Josefa de Soto),1st,17,female,1,1
87,Thayer_ Mr John Borland_ jr,1st,17,male,1,0
88,Ilett_ Miss Bertha,2nd,17,female,1,1
89,Allum_ Mr Owen George,3rd,17,male,0,0
90,Andersson_ Miss Erna,3rd,17,female,1,1
91,Attalah_ Miss Malaka,3rd,17,female,0,1
92,Calic_ Mr Peter,3rd,17,male,0,0
93,Cribb_ Miss Laura Alice,3rd,17,female,1,1
94,Davies_ Mr Joseph,3rd,17,male,0,0
95,Hagardon_ Miss Kate,3rd,17,female,0,1
96,Jensen_ Mr Svend Lauritz,3rd,17,male,0,0
97,Kallio_ Mr Nikolai Erland,3rd,17,male,0,0
98,Penasco_ Mr Victor de Satode,1st,18,male,0,0
99,Ryerson_ Miss Emily Borie,1st,18,female,1,1
100,Smith_ Mrs Lucien Philip (Mary Eloise Hughes,1st,18,female,1,1
101,Taussig_ Miss Ruth,1st,18,female,1,1
102,Andrew_ Mr Edgar Samuel,2nd,18,male,0,0
103,Bailey_ Mr Percy Andrew,2nd,18,male,0,0
104,Deacon_ Mr Percy,2nd,18,male,0,0
105,Dibden_ Mr William,2nd,18,male,0,0
106,Doling_ Miss Elsie,2nd,18,female,1,1
107,Hiltunen_ Miss Marta,2nd,18,female,0,1
108,Nasser (Nasrallah)_ Mrs Nicholas,2nd,18,female,1,1
109,Silven_ Miss Lyyli,2nd,18,female,1,1
110,Swane_ Mr George,2nd,18,male,0,0
111,Abraham_ Mrs Joseph (Sophie Easu),3rd,18,female,1,1
112,Aks_ Mrs Sam (Leah Rosen),3rd,18,female,1,1
113,Arnold_ Mrs Josef (Josephine Frank),3rd,18,female,0,1
114,Badman_ Miss Emily Louisa,3rd,18,female,1,1
115,Barbara_ Miss Saude,3rd,18,female,0,1
116,Bjorklund_ Ernst Herbert,3rd,18,male,0,0
117,Bradley_ Miss Bridget Delia,3rd,18,female,1,1
118,Burns_ Miss Mary Delia,3rd,18,female,0,1
119,Cacic_ Mr Grego,3rd,18,male,0,0
120,Chronopoulos_ Mr Demetrios,3rd,18,male,0,0
121,Edvardsson_ Mr Gustaf Hjalmar,3rd,18,male,0,0
122,Ford_ Mr Edward Watson,3rd,18,male,0,0
123,Hegarty_ Miss Nora,3rd,18,female,0,1
124,Klasen_ Mr Klas Albin,3rd,18,male,0,0
125,Turja_ Miss Anna Sofia,3rd,18,female,1,1
126,Van der Planke_ Miss Augusta,3rd,18,female,0,1
127,Wiklund_ Mr Jacob Alfred,3rd,18,male,0,0
128,Astor_ Mrs John Jacob (Madeleine Talmadge Force),1st,19,female,1,1
129,Bishop_ Mrs Dickinson H (Helen Walton),1st,19,female,1,1
130,Fortune_ Mr Charles Alexander,1st,19,male,0,0
131,Graham_ Miss Margaret Edith,1st,19,female,1,1
132,Newsom_ Miss Helen Monypeny,1st,19,female,1,1
133,Beane_ Mrs Edward (Ethel Clarke),2nd,19,female,1,1
134,Bentham_ Miss Lilian W,2nd,19,female,1,1
135,Carbines_ Mr William,2nd,19,male,0,0
136,Fahlstrom_ Mr Arne Jonas,2nd,19,male,0,0
137,Marshall_ Mrs Kate Louise Phillips,2nd,19,female,1,1
138,Mellor_ Mr William John,2nd,19,male,1,0
139,Nicholls_ Mr Joseph Charles,2nd,19,male,0,0
140,Beavan_ Mr William Thomas,3rd,19,male,0,0
141,Burke_ Mr Jeremiah,3rd,19,male,0,0
142,Cohen_ Mr Gurshon (Gus),3rd,19,male,1,0
143,Cor_ Mr Ludovik,3rd,19,male,0,0
144,Crease_ Mr Ernest James,3rd,19,male,0,0
145,Dakic_ Mr Branko,3rd,19,male,0,0
146,Devaney_ Miss Margaret,3rd,19,female,1,1
147,Dorkings_ Mr Edward Arthur,3rd,19,male,1,0
148,Gustafsson_ Mr Karl Gideon,3rd,19,male,0,0
149,Jensen_ Miss Carla Christine,3rd,19,female,1,1
150,Johnson_ Mr William Cahoone Jr,3rd,19,male,0,0
151,Willard_ Miss Constance,1st,20,female,1,1
152,Bryhl_ Miss Dagmar,2nd,20,female,1,1
153,Cotterill_ Mr Harry,2nd,20,male,0,0
154,Maybery_ Mr Frank H,2nd,20,male,0,0
155,Nourney_ Mr Alfred (aka Baron von Drachstedt),2nd,20,male,1,0
156,Pengelly_ Mr Frederick,2nd,20,male,0,0
157,Sincock_ Miss Maude,2nd,20,female,1,1
158,Abrahamsson_ Mr August,3rd,20,male,1,0
159,Alhomaki_ Mr Ilmari Rudolf,3rd,20,male,0,0
160,Andersen_ Mr Thor Olsvigen,3rd,20,male,0,0
161,Andreasson_ Mr Paul Edvin,3rd,20,male,0,0
162,Baccos_ Mr Rafoul,3rd,20,male,0,0
163,Betros_ Mr Tannous,3rd,20,male,0,0
164,Braf_ Miss Elin Ester Maria,3rd,20,female,0,1
165,Buckley_ Miss Katherine,3rd,20,female,0,1
166,Coelho_ Mr Domingos Fernandes,3rd,20,male,0,0
167,Gustafsson_ Mr Alfred Ossian,3rd,20,male,0,0
168,Hampe_ Mr Leon,3rd,20,male,0,0
169,Jensen_ Mr Hans Peder,3rd,20,male,0,0
170,Jussila_ Miss Katriina,3rd,20,female,0,1
171,Keane_ Mr Andrew,3rd,20,male,0,0
172,Lane_ Mr Patrick,3rd,20,male,0,0
173,Lindqvist_ Eino William,3rd,20,male,1,0
174,Borebank_ Mr John James,1st,21,male,0,0
175,Harder_ Mrs George Achilles (Dorothy Annan),1st,21,female,1,1
176,Longley_ Miss Gretchen Fiske,1st,21,female,1,1
177,Ryerson_ Miss Susan (Suzette) Parker,1st,21,female,1,1
178,White_ Mr Richard Frasar,1st,21,male,0,0
179,Williams_ Mr Richard Norris II,1st,21,male,1,0
180,Davies_ Mr Charles Henry,2nd,21,male,0,0
181,Enander_ Mr Ingvar,2nd,21,male,0,0
182,Giles_ Mr Frederick,2nd,21,male,0,0
183,Hickman_ Mr Stanley George,2nd,21,male,0,0
184,Hocking_ Miss Ellen (Nellie),2nd,21,female,1,1
185,Hood_ Mr Ambrose_ Jr,2nd,21,male,0,0
186,Phillips_ Mr Robert,2nd,21,male,0,0
187,Rugg_ Miss Emily,2nd,21,female,1,1
188,Birkeland_ Mr Hans,3rd,21,male,0,0
189,Buckley_ Mr Daniel,3rd,21,male,1,0
190,Canavan_ Miss Mary,3rd,21,female,0,1
191,Canavan_ Mr Patrick,3rd,21,male,0,0
192,Cann_ Mr Ernest,3rd,21,male,0,0
193,Chartens_ Mr David,3rd,21,male,0,0
194,Davies_ Mr John,3rd,21,male,0,0
195,Ford_ Miss Doolina Margaret,3rd,21,female,0,1
196,Hansen_ Mr Henry Damsgaard,3rd,21,male,0,0
197,Jussila_ Miss Aina Maria,3rd,21,female,0,1
198,Kalvig_ Mr Johannes K Halverson,3rd,21,male,0,0
199,Karlsson_ Mr Einar Gervasius,3rd,21,male,1,0
200,Kelly_ Miss Anna Kate,3rd,21,female,1,1
201,Kelly_ Miss Mary,3rd,21,female,1,1
202,Lemom_ Mr Denis,3rd,21,male,0,0
203,Lemon_ Miss Mary,3rd,21,female,0,1
204,Salander_ Mr Karl Johan,3rd,21,male,0,0
205,Windelov_ Mr Einar,3rd,21,male,0,0
206,Barkworth_ Mr Algernon H,1st,22,male,1,0
207,Bowerman_ Miss Elsie Edith,1st,22,female,1,1
208,Frolicher_ Miss Marguerite,1st,22,female,1,1
209,Gibson_ Miss Dorothy,1st,22,female,1,1
210,Ostby_ Miss Helen Raghnild,1st,22,female,1,1
211,Payne_ Mr Vivian Ponsonby,1st,22,male,0,0
212,Cook_ Mrs Selena Rogers,2nd,22,female,0,1
213,del Carlo_ Mrs Sebastiano (Argenia Genovese),2nd,22,female,1,1
214,Giles_ Mr Ralph,2nd,22,male,0,0
215,Karnes_ Mrs J Frank (Claire Bennett),2nd,22,female,0,1
216,LaRoche_ Mrs Joseph (Juliet),2nd,22,female,1,1
217,Oxenham_ Mr Percy Thomas,2nd,22,male,1,0
218,Smith (Schmidt)_ Mr Augustus,2nd,22,male,0,0
219,Troupiansky_ Mr Moses Aaron,2nd,22,male,0,0
220,Waelens_ Mr Achille,2nd,22,male,0,0
221,Barton_ Mr David,3rd,22,male,0,0
222,Berglund_ Mr Karl Ivar Sven,3rd,22,male,0,0
223,Braund_ Mr Owen Harris,3rd,22,male,0,0
224,Brobek_ Mr Karl Rudolf,3rd,22,male,0,0
225,Connolly_ Miss Kate,3rd,22,female,1,1
226,Dahlberg_ Miss Gerda Ulrika,3rd,22,female,0,1
227,Davies_ Mr Evan,3rd,22,male,0,0
228,Dyker_ Mrs Adolf Fredrik (Anna Elizabeth Judith Andersson),3rd,22,female,1,1
229,Gilinski_ Mr Leslie,3rd,22,male,0,0
230,Hellstrom_ Hilda Maria,3rd,22,female,1,1
231,Hirvonen_ Mrs Alexander,3rd,22,female,1,1
232,Johansson_ Mr Erik,3rd,22,male,0,0
233,Karlsson_ Mr Nils August,3rd,22,male,0,0
234,Kiernan_ Mr Philip,3rd,22,male,0,0
235,Kilgannon_ Mr Thomas,3rd,22,male,0,0
236,Kink_ Miss Maria,3rd,22,female,0,1
237,Landegren_ Miss Aurora Adelia,3rd,22,female,1,1
238,Larsson-Rondberg_ Mr Edvard,3rd,22,male,0,0
239,Vartunian_ Mr David,3rd,22,male,1,0
240,Vonk_ Mr Jenko,3rd,22,male,0,0
241,Zenni_ Mr Philip,3rd,22,male,0,0
242,Earnshaw_ Mrs Boulton (Olive Potter),1st,23,female,1,1
243,Fortune_ Miss Mabel,1st,23,female,1,1
244,Greenfield_ Mr William Bertram,1st,23,male,1,0
245,Newell_ Miss Marjorie,1st,23,female,1,1
246,Snyder_ Mrs John Pillsbury (Nelle Stevenson),1st,23,female,1,1
247,Baimbrigge_ Mr Charles R,2nd,23,male,0,0
248,Berriman_ Mr William S,2nd,23,male,0,0
249,Eitemiller_ Mr George Floyd,2nd,23,male,0,0
250,Hamalainen_ Mrs William (Anna),2nd,23,female,1,1
251,Hocking_ Mr George,2nd,23,male,0,0
252,Jerwan_ Mrs Amin S (Marie Thuillard),2nd,23,female,1,1
253,Richard_ Mr Emil,2nd,23,male,0,0
254,Ware_ Mr William J,2nd,23,male,0,0
255,Alexander_ Mr William,3rd,23,male,0,0
256,Asplund_ Mr John Charles,3rd,23,male,1,0
257,Assam_ Mr Ali,3rd,23,male,0,0
258,Augustsson_ Mr Albert,3rd,23,male,0,0
259,Dennis_ Mr Samuel,3rd,23,male,0,0
260,Drapkin_ Miss Jennie,3rd,23,female,1,1
261,Dyker_ Mr Adolf Fredrik,3rd,23,male,0,0
262,Heininen_ Miss Wendla Maria,3rd,23,female,0,1
263,Karlsson_ Mr Julius Konrad Eugen,3rd,23,male,0,0
264,Melkebuk_ Mrs Philemon,3rd,23,female,0,1
265,Baumann_ Mr John D,1st,24,male,0,0
266,Baxter_ Mr Quigg Edmond,1st,24,male,0,0
267,Fortune_ Miss Alice Elizabeth,1st,24,female,1,1
268,Hays_ Miss Margaret Bechstein,1st,24,female,1,1
269,Smith_ Mr Lucien Philip,1st,24,male,0,0
270,Snyder_ Mr John Pillsbury,1st,24,male,1,0
271,Collett_ Mr Sidney C Stuart,2nd,24,male,1,0
272,Garside_ Miss Ethel,2nd,24,female,1,1
273,Giles_ Mr Edgar,2nd,24,male,0,0
274,Herman_ Miss Alice,2nd,24,female,1,1
275,Herman_ Miss Kate,2nd,24,female,1,1
276,Pain_ Dr Alfred,2nd,24,male,0,0
277,Brown_ Miss Mildred,2nd,24,female,1,1
278,Ahmed_ Mr Ali,3rd,24,male,0,0
279,Aronsson_ Mr Ernst Axel Algot,3rd,24,male,0,0
280,Carlsson_ Mr Carl Robert,3rd,24,male,0,0
281,Celotti_ Mr Francesco,3rd,24,male,0,0
282,Colbert_ Mr Patrick,3rd,24,male,0,0
283,Coleff_ Mr Fotio,3rd,24,male,0,0
284,Davies_ Mr Alfred,3rd,24,male,0,0
285,Doyle_ Miss Elizabeth,3rd,24,female,0,1
286,Driscoll_ Miss Bridget,3rd,24,female,1,1
287,Duquemin_ Mr Joseph,3rd,24,male,1,0
288,Haas_ Miss Aloisia,3rd,24,female,0,1
289,Hakkarainen_ Mrs Pekko Pietari,3rd,24,female,1,1
290,Johnson_ Mrs Oscar W,3rd,24,female,0,1
291,Kennedy_ Mr John,3rd,24,male,0,0
292,Lievens_ Mr Rene,3rd,24,male,0,0
293,Allison_ Mrs Hudson JC (Bessie Waldo Daniels),1st,25,female,0,1
294,Birnbaum_ Mr Jakob,1st,25,male,0,0
295,Bishop_ Mr Dickinson H,1st,25,male,1,0
296,Harder_ Mr George Achilles,1st,25,male,1,0
297,Bryhl_ Mr Kurt Arnold Gottfrid,2nd,25,male,0,0
298,Butler_ Mr Reginald Fenton,2nd,25,male,0,0
299,Denbury_ Mr Herbert,2nd,25,male,0,0
300,Leyson_ Mr Robert William Norman,2nd,25,male,0,0
301,Richards_ Mrs Sidney (Emily Hocking),2nd,25,female,1,1
302,Shelley_ Mrs William (Imanita),2nd,25,female,1,1
303,Sobey_ Mr Hayden,2nd,25,male,0,0
304,Stokes_ Mr Philip Joseph,2nd,25,male,0,0
305,Abelseth_ Mr Olaus,3rd,25,male,1,0
306,Ali_ Mr William,3rd,25,male,0,0
307,Arnold_ Mr Josef,3rd,25,male,0,0
308,Dantchoff_ Mr Khristo,3rd,25,male,0,0
309,Delalic_ Mr Regyo,3rd,25,male,0,0
310,Gallagher_ Mr Martin,3rd,25,male,0,0
311,Ilmakangas_ Miss Pieta Sofia,3rd,25,female,0,1
312,Kiernan_ Mr John,3rd,25,male,0,0
313,Krekorian_ Mr Neshan,3rd,25,male,1,0
314,Lindahl_ Miss Agda V,3rd,25,female,0,1
315,Tornquist_ Mr William Henry,3rd,25,male,1,0
316,Behr_ Mr Karl Howell,1st,26,male,1,0
317,Clark_ Mrs Walter Miller (Virginia McDowell),1st,26,female,1,1
318,Botsford_ Mr William Hull,2nd,26,male,0,0
319,Caldwell_ Mr Albert Francis,2nd,26,male,1,0
320,Caldwell_ Mrs Albert Francis (Sylvia Mae Harbaugh),2nd,26,female,1,1
321,Gavey_ Mr Lawrence,2nd,26,male,0,0
322,Lahtinen_ Mrs William (Anna Sylvan),2nd,26,female,0,1
323,LaRoche_ Mr Joseph,2nd,26,male,0,0
324,Nesson_ Mr Israel,2nd,26,male,0,0
325,Wright_ Miss Marion,2nd,26,female,1,1
326,Adams_ Mr John,3rd,26,male,0,0
327,Andersson_ Mr Johan Samuel,3rd,26,male,0,0
328,Angheloff_ Mr Minko,3rd,26,male,0,0
329,Balkic_ Mr Cerin,3rd,26,male,0,0
330,Bengtsson_ Mr John Viktor,3rd,26,male,0,0
331,Bostandyeff_ Mr Guentcho,3rd,26,male,0,0
332,Bowen_ Mr David,3rd,26,male,0,0
333,Chronopoulos_ Mr Apostolos,3rd,26,male,0,0
334,Dean_ Mr Bertram,3rd,26,male,0,0
335,Dennis_ Mr William,3rd,26,male,0,0
336,Hansen_ Mr Henrik Juul,3rd,26,male,0,0
337,Heikkinen_ Miss Laina,3rd,26,female,1,1
338,Johansson_ Oscar L,3rd,26,male,1,0
339,Kink_ Mrs Anton (Louise Heilmann),3rd,26,female,0,1
340,Kink_ Mr Vincenz,3rd,26,male,0,0
341,Lang_ Mr Fang,3rd,26,male,1,0
342,Zakarian_ Mr Maprieder,3rd,26,male,0,0
343,Chambers_ Mr Norman Campbell,1st,27,male,1,0
344,Clark_ Mr Walter Miller,1st,27,male,0,0
345,Daniel_ Mr Robert Williams,1st,27,male,1,0
346,Davidson_ Mrs Thornton (Orian Hays),1st,27,female,1,1
347,Douglas_ Mrs Frederick Charles (Suzette Baxter),1st,27,female,1,1
348,Rothes_ the Countess of (Noel Lucy Martha Dyer-Edwardes),1st,27,female,1,1
349,Widener_ Mr Harry Elkins,1st,27,male,0,0
350,Bracken_ Mr James H,2nd,27,male,0,0
351,Collander_ Mr Erik,2nd,27,male,0,0
352,Mantvila_ Rev Joseph,2nd,27,male,0,0
353,Troutt_ Miss Edwina Celia,2nd,27,female,1,1
354,Turpin_ Mrs William John (Dorothy Anne Wonnacott),2nd,27,female,0,1
355,Attala (Kalil)_ Mr Solomon,3rd,27,male,0,0
356,Barry_ Miss Julia,3rd,27,female,0,1
357,Cor_ Mr Ivan,3rd,27,male,0,0
358,Danoff_ Mr Yoto,3rd,27,male,0,0
359,Hedman_ Mr Oscar,3rd,27,male,1,0
360,Honkanen_ Miss Eluna,3rd,27,female,1,1
361,Ilmakangas_ Miss Ida Livija,3rd,27,female,0,1
362,Jansen_ Mr Carl Olof,3rd,27,male,1,0
363,Jonsson_ Nils Hilding,3rd,27,male,0,0
364,Wirz_ Mr Albert,3rd,27,male,0,0
365,Yasbeck_ Mr Antoni,3rd,27,male,0,0
366,Zakarian_ Mr Artun,3rd,27,male,0,0
367,Bjornstrm-Steffansson_ Mr Mauritz Hakan,1st,28,male,1,0
368,Fortune_ Miss Ethel Flora,1st,28,female,1,1
369,Meyer_ Mr Edgar Joseph,1st,28,male,0,0
370,Ovies y Rodriguez_ Mr Servando,1st,28,male,0,0
371,Sloper_ Mr William Thompson,1st,28,male,1,0
372,Abelson_ Mrs Samuel (Anna),2nd,28,female,1,1
373,Banfield_ Mr Frederick J,2nd,28,male,0,0
374,Beauchamp_ Mr Henry James,2nd,28,male,0,0
375,Davis_ Miss Mary,2nd,28,female,1,1
376,del Carlo_ Mr Sebastiano,2nd,28,male,0,0
377,Harper_ Rev John,2nd,28,male,0,0
378,Parker_ Mr Clifford R,2nd,28,male,0,0
379,Reynaldo_ Mrs Encarnacion,2nd,28,female,1,1
380,Ware_ Mrs John James (Florence Louise Long),2nd,28,female,1,1
381,Weisz_ Mr Leopold,2nd,28,male,0,0
382,Carlsson_ Mr August Sigfrid,3rd,28,male,0,0
383,Carver_ Mr Alfred John,3rd,28,male,0,0
384,Danbom_ Mrs Ernst Gilbert (Anna Sigrid Maria Brogren),3rd,28,female,0,1
385,Gustafsson_ Mr Johan Birger,3rd,28,male,0,0
386,Hakkarainen_ Mr Pekko Pietari,3rd,28,male,0,0
387,Henriksson_ Jenny Lovisa,3rd,28,female,0,1
388,Van der Steen_ Mr Leo Peter,3rd,28,male,0,0
389,Vandewalle_ Mr Nestor Cyriel,3rd,28,male,0,0
390,Williams_ Mr Leslie,3rd,28,male,0,0
391,Allen_ Miss Elisabeth Walton,1st,29,female,1,1
392,Long_ Mr Milton Clyde,1st,29,male,0,0
393,Clarke_ Mr Charles V,2nd,29,male,0,0
